run_id,date,instrument_name,number_of_reads,run_type,total_gigabases
1,2012-06-21,Others,20000000,PE100,2
2,2012-08-24,Others,,,
3,2012-08-24,Others,,,
4,2012-08-17,Others,,,
5,2012-08-08,Others,,,
6,2012-09-03,Others,,,
7,2012-09-03,Others,,,
8,2012-09-19,Others,,,
9,2012-09-20,Others,,,
10,2012-10-19,Others,,,
11,2012-10-19,Others,,,
12,2012-11-15,Others,,,
13,2012-11-19,Others,,,
14,2012-12-04,HiSeq2500,,,
16,2012-12-13,Others,,,
17,2012-12-13,Others,,,
18,2012-12-13,HiSeq2500,,,
20,2013-02-01,HiSeq2500,0,PE100,0
21,2013-02-05,HiSeq2500,0,PE100,0
22,2013-02-12,Others,0,PE100,0
23,2013-02-19,HiSeq2500,461611687,SR100,46
25,2013-02-28,Others,6121296,PE100,0
26,2013-02-28,Others,1533103416,PE100,153
27,2013-02-28,HiSeq2500,0,SR100,0
28,2013-03-21,Others,1519230814,PE100,151
30,2013-03-20,Others,651780395,SR100,65
31,2013-04-15,Others,1959522490,PE100,195
32,2013-04-02,HiSeq2500,1031931170,SR50,51
33,2013-04-03,Others,,,
34,2013-04-05,Others,,,
35,2013-04-03,Others,,,
36,2013-04-08,HiSeq2500,1090798648,SR100,109
37,2013-04-26,HiSeq2500,3046088332,PE100,304
38,2013-04-10,Others,1391319648,SR100,139
39,2013-04-11,Others,,,
40,2013-04-12,HiSeq2500,,,
41,2013-04-26,Others,,,
42,2013-04-18,HiSeq2500,1045022169,SR100,104
43,2013-04-24,HiSeq2500,1200668520,SR100,120
44,2013-04-16,HiSeq2500,1310628465,SR100,131
45,2013-04-17,Others,1297665830,SR100,129
46,2013-04-30,Others,1295274772,SR100,129
47,2013-05-07,Others,,,
48,2013-05-08,Others,90368090,SR50,4
52,2013-05-07,Others,,,
58,2013-05-10,Others,2713237820,PE100,271
59,0000-00-00,PacBio,,,
60,0000-00-00,PacBio,,,
61,2013-05-14,HiSeq2500,1303124373,SR100,130
64,2013-06-06,Others,1195721486,SR100,119
66,2013-05-23,HiSeq2500,2165908394,PE100,216
67,2013-05-23,HiSeq2500,842864688,SR50,42
68,2013-06-07,HiSeq2500,3133501080,PE100,313
69,2013-07-09,Others,524276606,SR50,26
70,0000-00-00,PacBio,,,
72,2013-06-21,Others,1256453886,SR100,125
73,2013-06-18,MiSeq,,,
74,2013-07-08,Others,731922573,SR100,73
75,2013-07-05,HiSeq2500,2820655350,PE100,282
76,2013-06-21,MiSeq,,,
77,2013-08-09,HiSeq2500,1154395542,SR100,115
78,2013-07-09,Others,3226505684,PE100,322
79,2013-08-09,HiSeq2500,399431701,SR50,19
80,2013-07-04,MiSeq,,,
81,2013-07-11,MiSeq,,,
82,2013-07-23,HiSeq2500,3617622414,PE100,361
83,0000-00-00,MiSeq,,,
84,0000-00-00,PacBio,,,
85,0000-00-00,PacBio,,,
87,2013-08-19,Others,0,PE100,0
89,2013-07-30,MiSeq,0,PE250,0
91,0000-00-00,PacBio,,,
92,0000-00-00,PacBio,,,
94,0000-00-00,PacBio,,,
96,0000-00-00,PacBio,,,
97,0000-00-00,PacBio,,,
98,2013-08-06,Others,1191307224,PE100,119
99,2013-08-30,HiSeq2500,446962832,SR100,44
100,2013-08-30,HiSeq2500,2873441824,PE100,287
103,0000-00-00,PacBio,,,
104,0000-00-00,PacBio,,,
108,0000-00-00,MiSeq,,,
113,2013-08-23,MiSeq,,,
114,2013-08-28,MiSeq,,,
115,2013-08-29,Others,,,
116,2013-09-12,HiSeq2500,603714338,SR100,60
117,2013-09-27,Others,2453725520,PE100,245
118,2013-09-06,HiSeq2500,832558459,SR50,41
119,2013-09-27,Others,1381551178,SR100,138
120,2013-08-30,MiSeq,,,
121,2013-09-06,MiSeq,,,
122,2013-09-11,MiSeq,,,
124,2013-11-05,Others,2581642252,PE100,258
125,2013-10-03,MiSeq,,,
126,2013-10-31,Others,782377899,SR100,78
127,2013-11-04,Others,882021210,SR100,88
128,2013-10-29,Others,1001493536,SR50,50
129,2013-10-15,MiSeq,,,
130,2013-10-29,Others,971863789,SR100,97
131,2013-10-18,MiSeq,,,
132,2013-11-05,Others,2794133006,PE100,279
133,2013-11-05,HiSeq2500,1312173469,SR100,131
134,2013-11-22,Others,1956619938,PE100,195
135,2013-12-05,HiSeq2500,692797918,SR50,34
136,2013-11-05,MiSeq,,,
137,2013-11-12,MiSeq,,,
138,2013-12-06,HiSeq2500,1250026833,SR100,125
139,2013-12-05,HiSeq2500,1217344003,SR100,121
140,2013-12-11,HiSeq2500,1341010844,SR100,134
141,2013-12-10,Others,1419523323,SR100,141
142,2013-11-15,MiSeq,,,
143,2014-01-14,Others,512194623,SR100,51
146,0000-00-00,MiSeq,,,
147,0000-00-00,MiSeq,,,
148,0000-00-00,MiSeq,,,
149,2014-01-14,Others,,,
150,2014-01-31,HiSeq2500,3185876058,PE100,318
151,2014-02-12,HiSeq2500,,,
153,2014-01-31,HiSeq2500,2434148846,PE100,243
155,2014-01-09,MiSeq,,,
156,0000-00-00,MiSeq,,,
171,2014-01-22,HiSeq2500,1235096075,SR100,123
181,2014-02-14,HiSeq2500,2664434676,PE100,266
182,2014-03-04,HiSeq2500,1202702655,SR100,120
183,2014-02-07,Others,,,
184,2014-02-14,HiSeq2500,1369462207,SR100,136
185,2014-03-04,HiSeq2500,1287016608,SR100,128
186,2014-03-11,Others,1261449195,SR100,126
187,2014-02-26,HiSeq2500,1497633493,SR100,149
189,2014-03-24,HiSeq2500,3322087288,PE100,332
190,2014-03-25,HiSeq2500,1255989888,SR100,125
191,2014-02-28,MiSeq,,,
192,2014-03-04,MiSeq,,,
