id,runName,instrumentType,runType,data_folder,startDate,totalReadCount
1,120621_SN1043_0085_BD14N7ACXX,HiSeq2000,PE100_index,120621_SN1043_0085_BD14N7ACXX,20120621,20000000
4,RUN13,HiSeq2000,PE100_index,120821_SN1043_0090_AD17B4ACXX,20120821,0
5,RUN14,HiSeq2000,PE100_index,120821_SN1043_0091_BC11WJACXX,20120821,0
7,RUN15_20120903,HiSeq2000,PE100_index,120905_SN1043_0092_BD1AGWACXX,20120905,0
8,RUN16,HiSeq2000,PE100_index,120921_SN1043_0093_AC14RTACXX,20120921,0
9,RUN17,HiSeq2000,PE100_index,120921_SN1043_0094_BD1C71ACXX,20120921,0
10,RUN18,HiSeq2000,PE100_index,121023_SN1043_0095_AD1FC8ACXX,20121023,0
11,RUN19,HiSeq2000,PE100_index,121023_SN1043_0096_BC1AFUACXX,20121023,0
12,RUN20,HiSeq2000,PE100_index,121127_SN1043_0105_AD1HHYACXX,20121127,0
13,RUN21,HiSeq2000,PE100_index,121120_SN1043_0103_BD1GTDACXX,20121120,0
14,RUN22,HiSeq2500,PE100_index,121205_SN7001357_0034_AD1HVTACXX,20121205,0
16,RUN23,HiSeq2000,SR100_index,121217_SN1043_0107_AD0DURACXX,20121217,0
17,RUN24,HiSeq2000,PE100_index,121217_SN1043_0108_BD1HW4ACXX,20121217,0
18,RUN25,HiSeq2500,PE100_index,121217_SN7001357_0039_BD1LG3ACXX,20121217,0
20,RUN26,HiSeq2500,PE100_index,130201_SN7001357_0043_BC1K0BACXX,20130201,0
21,RUN27,HiSeq2500,PE100_index,130206_SN7001357_0044_AD1H5NACXX,20130206,0
22,RUN28,HiSeq2000,PE100_index,130212_SN1043_0109_AC0VNUACXX,20130212,0
23,RUN29,HiSeq2500,SR100_index,130219_SN7001357_0045_BD1NM6ACXX,20130219,461611687
25,RUN30,HiSeq2000,PE100_index,130228_SN1043_0110_AC1THMACXX,20130228,307135082
26,RUN31,HiSeq2000,PE100_index,130228_SN1043_0111_BD1V77ACXX,20130228,1648603664
27,RUN32,HiSeq2500,SR100_index,130228_SN7001357_0046_AD1WRVACXX,20130228,0
28,RUN33,HiSeq2000,PE100_index,130321_SN1043_0113_BC1UVDACXX,20130321,1519230814
30,RUN34,HiSeq2000,SR100_index,130320_SN1043_0112_AD1WAUACXX,20130320,651780395
31,RUN35,HiSeq2000,PE100_index,130415_SN1043_0123_AC1WGAACXX,20130415,4513004450
32,RUN36,HiSeq2500,SR50_index,130402_SN7001357_0049_AD1WTGACXX,20130402,1031931170
36,RUN40,HiSeq2500,SR100_index,130408_SN7001357_0050_AC20FYACXX,20130408,1090798648
37,RUN41,HiSeq2500,PE100_index,130426_SN7001357_0057_BC1VNNACXX,20130426,4475098794
38,RUN42,HiSeq2000,SR100_index,130409_SN1043_0118_BD24C2ACXX,20130409,1391319648
42,RUN46,HiSeq2500,SR100_index,130418_SN7001357_0055_BC2429ACXX,20130418,2008831453
43,RUN47,HiSeq2500,SR100_index,130424_SN7001357_0056_AC22VMACXX,20130424,2136158914
44,RUN48,HiSeq2500,SR100_index,130416_SN7001357_0054_AD246NACXX,20130416,2749071343
45,RUN49,HiSeq2000,SR100_index,130417_SN1043_0124_BC228BACXX,20130417,2233251527
46,RUN50,HiSeq2000,SR100_index,130430_SN1043_0125_BC24TPACXX,20130430,4195831723
48,RUN52,HiSeq2000,SR50_index,130508_SN1043_0128_BD2729ACXX,20130508,12721658580
58,RUN54,HiSeq2000,PE100_index,130509_SN7001357_0059_AD12RNACXX,20130509,3870036358
61,RUN55,HiSeq2500,SR100_index,170510_D00418_0128_AHKJYWBCXY,20170510,2262884576
64,RUN56,HiSeq2000,SR100_index,130606_SN1043_0130_AD273DACXX,20130606,2794531063
66,RUN57,HiSeq2500,PE100_index,130523_SN7001357_0061_AC266CACXX,20130523,3293664140
67,RUN58,HiSeq2500,SR50_index,130523_SN7001357_0062_BC2403ACXX,20130523,6113765733
68,RUN59,HiSeq2500,PE100_index,130607_SN7001357_0065_AD267RACXX,20130607,5216412918
69,RUN60,HiSeq2000,SR50_index,130709_SN1043_0134_BD2C6TACXX,20130709,9604434574
72,RUN61_72,HiSeq2000,SR100_index,130621_SN1043_0131_AD29WBACXX,20130621,3021057910
73,p1140,MiSeq,Miseq-500cycV2,130618_M01106_0027_000000000-A4WT7,20130618,0
74,RUN62_74,HiSeq2000,SR100_index,130702_SN1043_0132_AD23T3ACXX,20130702,3724514646
75,RUN63_75,HiSeq2500,PE100_index,130705_SN7001357_0067_AD2CCRACXX,20130705,5310746086
77,RUN64_77,HiSeq2500,SR100_index,130809_SN7001357_0069_AC2AKAACXX,20130809,4105976958
78,RUN65_78,HiSeq2000,PE100_index,130709_SN1043_0133_AD2CGMACXX,20130709,9803673272
79,RUN66_79,HiSeq2500,SR50_index,130809_SN7001357_0070_BD2D3GACXX,20130809,6833623437
80,RUN 29,MiSeq,Miseq-500cycV2,130704_M01106_0029_000000000-A542D,20130704,0
82,RUN67_82,HiSeq2500,PE100_index,130723_SN7001357_0068_AD27M3ACXX,20130723,4966083068
83,RUN31_LP,MiSeq,Miseq-500cycV2,130712_M01106_0031_000000000-A4KVM,20130712,0
87,RUN68_87,HiSeq2000,PE100_index,130729_SN1043_0135_AD2CKEACXX,20130729,0
89,RUN35_LP,MiSeq,Miseq-500cycV2,130729_M01106_0035_000000000-A5B17,20130729,0
98,RUN68_2,HiSeq2000,PE100_index,130806_SN1043_0137_AD2CJNACXX,20130806,1549449336
99,RUN69_99,HiSeq2500,SR100_index,130830_SN7001357_0072_BC2AJDACXX,20130830,1524704362
100,RUN70,HiSeq2500,PE100_index,130830_SN7001357_0071_AD2FNTACXX,20130830,5533689640
113,RUN 38,MiSeq,Miseq-300cycV2,130823_M01106_0038_000000000-A4YVJ,20130823,0
