id,start_date,num_samples,finish_date,days_to_completion
410,11/7/2013,24,1/22/2014,77
440,1/7/2014,4,3/11/2014,64
453,1/28/2014,4,4/21/2014,83.95833333
469,2/20/2014,9,4/21/2014,60.95833333
501,2/27/2014,5,4/21/2014,53.95833333
523,3/25/2014,4,9/11/2014,170.9583333
524,4/2/2014,4,9/11/2014,163
531,3/17/2014,10,4/21/2014,35.95833333
532,3/19/2014,12,4/21/2014,33.95833333
551,3/28/2014,1,9/11/2014,167.9583333
553,4/9/2014,10,9/11/2014,156
554,3/11/2014,20,9/11/2014,184.9583333
555,3/21/2014,21,9/11/2014,174.9583333
556,4/10/2014,9,9/11/2014,155
557,4/10/2014,12,9/11/2014,155
558,3/20/2014,21,9/11/2014,175.9583333
560,4/8/2014,1,6/11/2014,65
562,4/10/2014,6,7/3/2014,85
565,4/16/2014,4,9/11/2014,149
569,4/10/2014,13,7/3/2014,85
574,4/24/2014,45,7/3/2014,71
575,3/19/2014,16,9/11/2014,176.9583333
576,4/29/2014,1,9/11/2014,136
577,4/29/2014,22,7/8/2014,71
578,4/7/2014,6,9/11/2014,158
581,5/2/2014,6,7/1/2014,61
582,5/7/2014,1,6/18/2014,43
584,4/14/2014,24,6/12/2014,60
587,5/7/2014,9,9/11/2014,128
588,5/8/2014,9,6/13/2014,37
589,5/8/2014,9,6/13/2014,37
590,4/16/2014,12,7/3/2014,79
591,4/17/2014,12,7/3/2014,78
592,3/18/2014,40,6/11/2014,85.95833333
596,5/9/2014,4,6/13/2014,36
597,5/9/2014,3,7/29/2014,82
598,4/23/2014,18,7/1/2014,70
611,5/5/2014,13,7/3/2014,60
612,5/14/2014,8,6/12/2014,30
613,5/6/2014,12,6/13/2014,39
614,4/25/2014,6,6/12/2014,49
616,5/20/2014,8,6/12/2014,24
618,5/22/2014,8,6/16/2014,26
619,5/23/2014,15,6/16/2014,25
620,4/7/2014,34,8/6/2014,122
622,5/26/2014,60,9/16/2014,114
623,6/3/2014,12,6/12/2014,10
624,6/5/2014,8,8/20/2014,77
627,6/5/2014,8,7/29/2014,55
628,6/6/2014,9,8/6/2014,62
629,5/28/2014,24,8/4/2014,69
630,5/27/2014,6,8/4/2014,70
631,6/6/2014,10,7/29/2014,54
632,6/11/2014,12,7/8/2014,28
633,6/16/2014,6,7/3/2014,18
635,4/7/2014,34,8/6/2014,122
636,5/30/2014,33,8/4/2014,67
637,6/20/2014,10,8/20/2014,62
638,6/18/2014,18,7/17/2014,30
639,6/5/2014,8,8/4/2014,61
640,6/22/2014,1,8/4/2014,44
641,6/25/2014,8,8/20/2014,57
643,6/2/2014,1,7/29/2014,58
644,6/27/2014,6,8/4/2014,39
646,5/28/2014,12,8/20/2014,85
647,6/26/2014,5,8/20/2014,56
648,6/26/2014,16,8/22/2014,58
649,6/27/2014,16,8/22/2014,57
650,6/22/2014,2,8/4/2014,44
651,7/7/2014,11,7/28/2014,22
652,6/30/2014,3,7/22/2014,23
