,id,start_date,num_samples,end_date,days_to_complete,library_type,library_category
0,410,11/7/2013,24,1/22/2014,77.0,,Others
1,440,1/7/2014,4,3/11/2014,64.0,TruSeq RNA stranded,RNA Seq
2,453,1/28/2014,4,4/21/2014,83.95833333,TruSeq Small RNA,Others
3,469,2/20/2014,9,4/21/2014,60.95833333,TruSeq RNA stranded,RNA Seq
4,501,2/27/2014,5,4/21/2014,53.95833333,TruSeq RNA stranded,RNA Seq
5,523,3/25/2014,4,9/11/2014,170.95833330000002,TruSeq RNA stranded,RNA Seq
6,524,4/2/2014,4,9/11/2014,163.0,NEB Next DNA,DNA Seq
7,531,3/17/2014,10,4/21/2014,35.95833333,TruSeq RNA stranded,RNA Seq
8,532,3/19/2014,12,4/21/2014,33.95833333,TruSeq RNA stranded,RNA Seq
9,551,3/28/2014,1,9/11/2014,167.95833330000002,Ready Made library,Others
10,553,4/9/2014,10,9/11/2014,156.0,NuGEN Ovation Single Cell RNA-Seq System,Sequencing only
11,554,3/11/2014,20,9/11/2014,184.95833330000002,TruSeq Small RNA,Others
12,555,3/21/2014,21,9/11/2014,174.95833330000002,TruSeq Small RNA,Others
13,556,4/10/2014,9,9/11/2014,155.0,NEBnext smRNA,Others
14,557,4/10/2014,12,9/11/2014,155.0,NEBnext smRNA,Others
15,558,3/20/2014,21,9/11/2014,175.95833330000002,TruSeq RNA stranded,RNA Seq
16,560,4/8/2014,1,6/11/2014,65.0,NEB Next DNA,DNA Seq
17,562,4/10/2014,6,7/3/2014,85.0,TruSeq RNA stranded,RNA Seq
18,565,4/16/2014,4,9/11/2014,149.0,Nugen Ultra Low Input,DNA Seq
19,569,4/10/2014,13,7/3/2014,85.0,TruSeq RNA stranded,RNA Seq
20,574,4/24/2014,45,7/3/2014,71.0,,Others
21,575,3/19/2014,16,9/11/2014,176.95833330000002,TruSeq RNA stranded,RNA Seq
22,576,4/29/2014,1,9/11/2014,136.0,Ready Made library,Others
23,577,4/29/2014,22,7/8/2014,71.0,Ovation Human FFPE RNA-Seq Library Systems,RNA Seq
24,578,4/7/2014,6,9/11/2014,158.0,TruSeq RNA stranded,RNA Seq
25,581,5/2/2014,6,7/1/2014,61.0,TruSeq RNA stranded,RNA Seq
26,582,5/7/2014,1,6/18/2014,43.0,TruSeq DNA PCR-Free LT Kit,DNA Seq
27,584,4/14/2014,24,6/12/2014,60.0,TruSeq RNA stranded,RNA Seq
28,587,5/7/2014,9,9/11/2014,128.0,TruSeq RNA stranded,RNA Seq
29,588,5/8/2014,9,6/13/2014,37.0,TruSeq RNA stranded,RNA Seq
30,589,5/8/2014,9,6/13/2014,37.0,TruSeq RNA stranded,RNA Seq
31,590,4/16/2014,12,7/3/2014,79.0,TruSeq Small RNA,Others
32,591,4/17/2014,12,7/3/2014,78.0,TruSeq RNA stranded,RNA Seq
33,592,3/18/2014,40,6/11/2014,85.95833333,Ready made Library Bisulfide Treatment,Sequencing only
34,596,5/9/2014,4,6/13/2014,36.0,Ready made Library Bisulfide Treatment,Sequencing only
35,597,5/9/2014,3,7/29/2014,82.0,Ready Made Library-Homemade kit,Sequencing only
36,598,4/23/2014,18,7/1/2014,70.0,TruSeq RNA stranded,RNA Seq
37,611,5/5/2014,13,7/3/2014,60.0,NEB Next DNA,DNA Seq
38,612,5/14/2014,8,6/12/2014,30.0,Ready Made Library,Others
39,613,5/6/2014,12,6/13/2014,39.0,TruSeq RNA stranded,RNA Seq
40,614,4/25/2014,6,6/12/2014,49.0,TruSeq RNA stranded,RNA Seq
41,616,5/20/2014,8,6/12/2014,24.0,Ready Made Library,Others
42,618,5/22/2014,8,6/16/2014,26.0,Ready Made Library,Others
43,619,5/23/2014,15,6/16/2014,25.0,Ready Made Library,Others
44,620,4/7/2014,34,8/6/2014,122.0,TruSeq RNA stranded,RNA Seq
45,622,5/26/2014,60,9/16/2014,114.0,Ready Made Library,Others
46,623,6/3/2014,12,6/12/2014,10.0,Ready Made Library,Others
47,624,6/5/2014,8,8/20/2014,77.0,TruSeq RNA stranded,RNA Seq
48,627,6/5/2014,8,7/29/2014,55.0,TruSeq RNA stranded,RNA Seq
49,628,6/6/2014,9,8/6/2014,62.0,TruSeq RNA stranded,RNA Seq
50,629,5/28/2014,24,8/4/2014,69.0,TruSeq RNA stranded,RNA Seq
51,630,5/27/2014,6,8/4/2014,70.0,TruSeq RNA stranded,RNA Seq
52,631,6/6/2014,10,7/29/2014,54.0,TruSeq RNA stranded,RNA Seq
53,632,6/11/2014,12,7/8/2014,28.0,TruSeq RNA stranded,RNA Seq
54,633,6/16/2014,6,7/3/2014,18.0,TruSeq RNA stranded,RNA Seq
55,635,4/7/2014,34,8/6/2014,122.0,,Others
56,636,5/30/2014,33,8/4/2014,67.0,TruSeq RNA stranded,RNA Seq
57,637,6/20/2014,10,8/20/2014,62.0,TruSeq DNA,DNA Seq
58,638,6/18/2014,18,7/17/2014,30.0,,Others
59,639,6/5/2014,8,8/4/2014,61.0,TruSeq RNA stranded,RNA Seq
60,640,6/22/2014,1,8/4/2014,44.0,Ready Made library,Others
61,641,6/25/2014,8,8/20/2014,57.0,TruSeq RNA stranded,RNA Seq
62,643,6/2/2014,1,7/29/2014,58.0,Ready Made Fragment Library,Sequencing only
63,644,6/27/2014,6,8/4/2014,39.0,TruSeq RNA stranded,RNA Seq
64,646,5/28/2014,12,8/20/2014,85.0,TruSeq RNA stranded,RNA Seq
65,647,6/26/2014,5,8/20/2014,56.0,TruSeq RNA stranded,RNA Seq
66,648,6/26/2014,16,8/22/2014,58.0,Ready Made Library,Others
67,649,6/27/2014,16,8/22/2014,57.0,Ready Made Library,Others
68,650,6/22/2014,2,8/4/2014,44.0,Ready Made library,Others
69,651,7/7/2014,11,7/28/2014,22.0,Nextera XT,DNA Seq
70,652,6/30/2014,3,7/22/2014,23.0,Nextera XT,DNA Seq
