id,start_date,num_samples,end_date,days_to_complete,library_type
410,11/7/2013,24,1/22/2014,77,
440,1/7/2014,4,3/11/2014,64,TruSeq RNA stranded
453,1/28/2014,4,4/21/2014,83.95833333,TruSeq Small RNA
469,2/20/2014,9,4/21/2014,60.95833333,TruSeq RNA stranded
501,2/27/2014,5,4/21/2014,53.95833333,TruSeq RNA stranded
523,3/25/2014,4,9/11/2014,170.9583333,TruSeq RNA stranded
524,4/2/2014,4,9/11/2014,163,NEB Next DNA
531,3/17/2014,10,4/21/2014,35.95833333,TruSeq RNA stranded
532,3/19/2014,12,4/21/2014,33.95833333,TruSeq RNA stranded
551,3/28/2014,1,9/11/2014,167.9583333,Ready Made library
553,4/9/2014,10,9/11/2014,156,NuGEN Ovation Single Cell RNA-Seq System
554,3/11/2014,20,9/11/2014,184.9583333,TruSeq Small RNA
555,3/21/2014,21,9/11/2014,174.9583333,TruSeq Small RNA
556,4/10/2014,9,9/11/2014,155,NEBnext smRNA
557,4/10/2014,12,9/11/2014,155,NEBnext smRNA
558,3/20/2014,21,9/11/2014,175.9583333,TruSeq RNA stranded
560,4/8/2014,1,6/11/2014,65,NEB Next DNA
562,4/10/2014,6,7/3/2014,85,TruSeq RNA stranded
565,4/16/2014,4,9/11/2014,149,Nugen Ultra Low Input
569,4/10/2014,13,7/3/2014,85,TruSeq RNA stranded
574,4/24/2014,45,7/3/2014,71,
575,3/19/2014,16,9/11/2014,176.9583333,TruSeq RNA stranded
576,4/29/2014,1,9/11/2014,136,Ready Made library
577,4/29/2014,22,7/8/2014,71,Ovation Human FFPE RNA-Seq Library Systems
578,4/7/2014,6,9/11/2014,158,TruSeq RNA stranded
581,5/2/2014,6,7/1/2014,61,TruSeq RNA stranded
582,5/7/2014,1,6/18/2014,43,TruSeq DNA PCR-Free LT Kit
584,4/14/2014,24,6/12/2014,60,TruSeq RNA stranded
587,5/7/2014,9,9/11/2014,128,TruSeq RNA stranded
588,5/8/2014,9,6/13/2014,37,TruSeq RNA stranded
589,5/8/2014,9,6/13/2014,37,TruSeq RNA stranded
590,4/16/2014,12,7/3/2014,79,TruSeq Small RNA
591,4/17/2014,12,7/3/2014,78,TruSeq RNA stranded
592,3/18/2014,40,6/11/2014,85.95833333,Ready made Library Bisulfide Treatment
596,5/9/2014,4,6/13/2014,36,Ready made Library Bisulfide Treatment
597,5/9/2014,3,7/29/2014,82,Ready Made Library-Homemade kit
598,4/23/2014,18,7/1/2014,70,TruSeq RNA stranded
611,5/5/2014,13,7/3/2014,60,NEB Next DNA
612,5/14/2014,8,6/12/2014,30,Ready Made Library
613,5/6/2014,12,6/13/2014,39,TruSeq RNA stranded
614,4/25/2014,6,6/12/2014,49,TruSeq RNA stranded
616,5/20/2014,8,6/12/2014,24,Ready Made Library
618,5/22/2014,8,6/16/2014,26,Ready Made Library
619,5/23/2014,15,6/16/2014,25,Ready Made Library
620,4/7/2014,34,8/6/2014,122,TruSeq RNA stranded
622,5/26/2014,60,9/16/2014,114,Ready Made Library
623,6/3/2014,12,6/12/2014,10,Ready Made Library
624,6/5/2014,8,8/20/2014,77,TruSeq RNA stranded
627,6/5/2014,8,7/29/2014,55,TruSeq RNA stranded
628,6/6/2014,9,8/6/2014,62,TruSeq RNA stranded
629,5/28/2014,24,8/4/2014,69,TruSeq RNA stranded
630,5/27/2014,6,8/4/2014,70,TruSeq RNA stranded
631,6/6/2014,10,7/29/2014,54,TruSeq RNA stranded
632,6/11/2014,12,7/8/2014,28,TruSeq RNA stranded
633,6/16/2014,6,7/3/2014,18,TruSeq RNA stranded
635,4/7/2014,34,8/6/2014,122,
636,5/30/2014,33,8/4/2014,67,TruSeq RNA stranded
637,6/20/2014,10,8/20/2014,62,TruSeq DNA
638,6/18/2014,18,7/17/2014,30,
639,6/5/2014,8,8/4/2014,61,TruSeq RNA stranded
640,6/22/2014,1,8/4/2014,44,Ready Made library
641,6/25/2014,8,8/20/2014,57,TruSeq RNA stranded
643,6/2/2014,1,7/29/2014,58,Ready Made Fragment Library
644,6/27/2014,6,8/4/2014,39,TruSeq RNA stranded
646,5/28/2014,12,8/20/2014,85,TruSeq RNA stranded
647,6/26/2014,5,8/20/2014,56,TruSeq RNA stranded
648,6/26/2014,16,8/22/2014,58,Ready Made Library
649,6/27/2014,16,8/22/2014,57,Ready Made Library
650,6/22/2014,2,8/4/2014,44,Ready Made library
651,7/7/2014,11,7/28/2014,22,Nextera XT
652,6/30/2014,3,7/22/2014,23,Nextera XT
653,7/7/2014,2,8/7/2014,32,Nextera XT
654,7/7/2014,2,8/13/2014,38,Ready Made Library-Homemade kit
656,12/2/2013,6,8/6/2014,247.9583333,TruSeq RNA stranded
657,7/1/2014,10,8/20/2014,51,Ready Made library
658,4/24/2014,24,8/4/2014,103,NEB Next Ultra DNA
659,6/17/2014,12,8/20/2014,65,TruSeq RNA stranded
660,6/21/2014,12,12/22/2014,185.0416667,TruSeq RNA stranded
661,6/27/2014,12,12/22/2014,179.0416667,TruSeq RNA stranded
663,7/9/2014,4,8/22/2014,45,TruSeq RNA stranded
664,7/2/2014,8,8/6/2014,36,TruSeq RNA stranded
667,7/16/2014,16,8/22/2014,38,Ready Made Library
668,6/2/2014,20,8/28/2014,88,Ready Made Libraries
670,7/11/2014,12,8/4/2014,25,Ready Made Library-Clonetech
671,7/16/2014,12,8/6/2014,22,NuGEN Ovation Single Cell RNA-Seq System
725,7/24/2014,15,8/28/2014,36,TruSeq RNA stranded
726,7/21/2014,6,9/24/2014,66,Ready Made Library
727,7/21/2014,12,9/11/2014,53,Ready Made Library
728,7/21/2014,16,9/11/2014,53,Ready Made Library
733,7/18/2014,23,8/20/2014,34,Ready Made Fragment Library
734,7/31/2014,2,9/24/2014,56,Ready made Library Bisulfide Treatment
735,7/30/2014,8,8/28/2014,30,TruSeq RNA stranded
736,7/28/2014,5,9/24/2014,59,NEB Next Ultra DNA
737,7/22/2014,8,8/28/2014,38,TruSeq RNA stranded
738,7/2/2014,8,9/11/2014,72,TruSeq RNA stranded
739,7/21/2014,28,9/16/2014,58,TruSeq RNA stranded
740,8/6/2014,11,12/6/2014,123.0416667,TruSeq RNA stranded
741,8/6/2014,11,12/6/2014,123.0416667,TruSeq RNA stranded
742,8/6/2014,11,12/6/2014,123.0416667,TruSeq RNA stranded
743,8/6/2014,12,8/28/2014,23,Ready Made Library
744,7/30/2014,10,8/28/2014,30,TruSeq DNA
745,7/22/2014,11,10/8/2014,79,NEBnext smRNA
746,7/22/2014,11,10/8/2014,79,NEBnext smRNA
747,7/22/2014,11,10/8/2014,79,NEBnext smRNA
748,8/6/2014,18,9/3/2014,29,TruSeq RNA stranded
749,8/6/2014,8,9/3/2014,29,TruSeq RNA stranded
750,7/28/2014,5,9/3/2014,38,TruSeq RNA stranded
752,8/21/2014,8,10/8/2014,49,TruSeq RNA stranded
753,8/26/2014,12,10/8/2014,44,TruSeq RNA stranded
754,8/29/2014,1,10/8/2014,41,TruSeq RNA stranded
755,8/29/2014,18,10/8/2014,41,Nextera XT
756,8/27/2014,16,10/8/2014,43,Ready Made Library
757,8/27/2014,12,9/24/2014,29,Ready Made Library
758,8/27/2014,4,9/24/2014,29,Ready Made Library
759,9/3/2014,1,9/16/2014,14,Ready Made library
760,9/3/2014,1,9/16/2014,14,Ready Made library
761,9/1/2014,8,10/8/2014,38,Ready Made Library
763,9/3/2014,21,10/8/2014,36,TruSeq DNA PCR-Free LT Kit
765,9/1/2014,12,10/8/2014,38,TruSeq RNA stranded
767,9/5/2014,10,9/8/2014,4,Ready Made library
769,9/5/2014,12,10/8/2014,34,TruSeq RNA stranded
772,9/8/2014,14,9/16/2014,9,Ready Made Library
773,9/8/2014,12,10/8/2014,31,TruSeq RNA stranded
776,9/8/2014,72,10/18/2014,41,TruSeq RNA stranded
777,9/9/2014,6,10/18/2014,40,Ovation Rapid Library Systems
778,9/8/2014,6,10/18/2014,41,TruSeq RNA stranded
779,9/7/2014,8,4/16/2015,222,TruSeq RNA stranded
780,9/8/2014,35,12/18/2014,102.0416667,
781,6/26/2014,11,11/13/2014,141.0416667,NuGEN Ovation Single Cell RNA-Seq System
782,9/16/2014,5,12/18/2014,94.04166667,Nugen Ultra Low Input
783,8/28/2014,1,10/8/2014,42,Ready Made library
784,9/23/2014,8,12/18/2014,87.04166667,Ready made Library Bisulfide Treatment
785,9/22/2014,24,12/18/2014,88.04166667,None
790,9/30/2014,4,11/26/2014,58.04166667,TruSeq RNA stranded
792,7/18/2014,4,11/13/2014,119.0416667,Ready Made Libraries
793,9/8/2014,12,11/13/2014,67.04166667,
795,10/1/2014,4,12/6/2014,67.04166667,TruSeq RNA stranded
796,10/6/2014,8,12/18/2014,74.04166667,Ready Made Library
797,10/1/2014,8,12/16/2014,77.04166667,
799,9/19/2014,5,12/18/2014,91.04166667,
800,10/6/2014,4,12/18/2014,74.04166667,NEB Next Ultra DNA
801,10/20/2014,8,11/26/2014,38.04166667,TruSeq RNA stranded
802,10/2/2014,5,11/13/2014,43.04166667,Ready made Library Bisulfide Treatment
804,10/14/2014,6,12/22/2014,70.04166667,TruSeq RNA stranded
805,10/20/2014,4,12/16/2014,58.04166667,Nugen Ultra Low Input
806,10/21/2014,5,12/6/2014,47.04166667,TruSeq RNA stranded
807,10/28/2014,1,11/26/2014,30,Ready Made library
810,10/30/2014,1,11/13/2014,15,Ready Made library
811,10/30/2014,1,11/13/2014,15,Ready Made library
812,10/15/2014,10,12/22/2014,69.04166667,TruSeq RNA stranded
813,11/3/2014,6,11/26/2014,24,Ready Made Library
817,10/31/2014,6,11/26/2014,27,Ready Made Library
818,11/3/2014,6,11/26/2014,24,Ready Made Library
820,11/3/2014,51,12/16/2014,44,TruSeq RNA stranded
821,11/4/2014,100,12/22/2014,49,
822,9/11/2014,6,11/13/2014,64.04166667,Ready Made library
